city,state_code,total,virus,virus_p
Carolina,PR,5900,3859,0.654
Carolina,PR,994,831,0.836
Carolina,PR,6410,903,0.141
Carolina,PR,7330,970,0.132
Carolina,PR,4644,867,0.187
Carolina,PR,5747,3749,0.652
Carolina,PR,3878,1258,0.324
Carolina,PR,8065,5290,0.656
Carolina,PR,8603,7160,0.832
Agawam,MA,3668,3646,0.994
Amherst,MA,9405,8560,0.910
Amherst,MA,3024,2140,0.708
Amherst,MA,1394,50,0.036
Barre,MA,5594,2030,0.363
Belchertown,MA,538,188,0.349
Blandford,MA,7346,6344,0.864
Bondsville,MA,9501,5872,0.618
Brimfield,MA,4067,3108,0.764
Chester,MA,3608,2229,0.618
Chesterfield,MA,3175,1114,0.351
Chicopee,MA,1509,560,0.371
Chicopee,MA,6119,5268,0.861
Chicopee,MA,7551,5208,0.690
Chicopee,MA,6879,4921,0.715
Chicopee,MA,1223,623,0.509
Cummington,MA,9831,3557,0.362
Easthampton,MA,3148,2308,0.733
East Longmeadow,MA,3734,551,0.148
East Otis,MA,1881,682,0.363
Feeding Hills,MA,6785,1327,0.196
Gilbertville,MA,3409,2021,0.593
Goshen,MA,3401,279,0.082
Granby,MA,4972,2673,0.538
Granville,MA,9919,6270,0.632
Hadley,MA,6461,2232,0.345
Hampden,MA,1632,971,0.595
Hardwick,MA,4944,60,0.012
Hatfield,MA,2849,2011,0.706
Haydenville,MA,1895,276,0.146
Holyoke,MA,9430,2146,0.228
Holyoke,MA,1759,1555,0.884
Huntington,MA,9696,3919,0.404
Leeds,MA,9659,3571,0.370
Leverett,MA,8306,4896,0.589
Ludlow,MA,3414,2471,0.724
Monson,MA,2043,9,0.004
North Amherst,MA,7821,5389,0.689
Northampton,MA,6743,4023,0.597
Northampton,MA,6268,1134,0.181
Northampton,MA,6063,623,0.103
Northampton,MA,7345,5548,0.755
North Hatfield,MA,7346,4665,0.635
Oakham,MA,2266,1196,0.528
Palmer,MA,5908,5815,0.984
Plainfield,MA,1710,186,0.109
Russell,MA,9470,2234,0.236
Shutesbury,MA,8825,1815,0.206
Southampton,MA,1861,1536,0.825
South Barre,MA,6692,3376,0.504
South Hadley,MA,6039,5843,0.968
Southwick,MA,6751,6480,0.960
Thorndike,MA,796,639,0.803
Three Rivers,MA,1537,1259,0.819
Wales,MA,1861,1771,0.952
Ware,MA,4341,2152,0.496
Warren,MA,6349,6137,0.967
West Chesterfield,MA,6963,4004,0.575
Westfield,MA,7383,1280,0.173
Westfield,MA,8798,793,0.090
West Hatfield,MA,2095,1548,0.739
West Springfield,MA,2014,1803,0.895
West Springfield,MA,568,86,0.151
West Warren,MA,6561,1710,0.261
Whately,MA,1689,1159,0.686
Wheelwright,MA,6990,1273,0.182
Wilbraham,MA,5983,3798,0.635
Williamsburg,MA,6639,1588,0.239
Woronoco,MA,8914,366,0.041
Worthington,MA,658,569,0.865
Springfield,MA,8093,8083,0.999
Springfield,MA,3520,624,0.177
Springfield,MA,1027,388,0.378
Springfield,MA,957,489,0.511
Springfield,MA,9511,5203,0.547
Longmeadow,MA,8389,6902,0.823
Springfield,MA,4405,3314,0.752
Springfield,MA,5963,4774,0.801
Springfield,MA,8872,5503,0.620
Springfield,MA,2752,679,0.247
Springfield,MA,7513,1853,0.247
Longmeadow,MA,8270,319,0.039
Springfield,MA,6308,2273,0.360
Springfield,MA,9417,4277,0.454
Springfield,MA,7107,3558,0.501
Springfield,MA,2298,9,0.004
Springfield,MA,6740,364,0.054
Springfield,MA,1574,74,0.047
Springfield,MA,4599,4131,0.898
Springfield,MA,1947,1055,0.542
Springfield,MA,444,4,0.009
Springfield,MA,410,197,0.480
Springfield,MA,2517,235,0.093
Springfield,MA,1067,388,0.364
Pittsfield,MA,3939,1152,0.292
Pittsfield,MA,4796,4034,0.841
Pittsfield,MA,8424,3530,0.419
Adams,MA,7228,2654,0.367
Ashley Falls,MA,8993,7517,0.836
Becket,MA,2987,153,0.051
Berkshire,MA,3312,2010,0.607
Cheshire,MA,4747,726,0.153
Dalton,MA,4484,954,0.213
Dalton,MA,7389,4810,0.651
Glendale,MA,4456,3632,0.815
Great Barrington,MA,2130,1937,0.909
Hinsdale,MA,6092,3579,0.587
Housatonic,MA,9444,2656,0.281
Lanesboro,MA,103,13,0.126
Lee,MA,2555,1094,0.428
Lenox,MA,5834,3355,0.575
Lenox Dale,MA,8543,3357,0.393
Middlefield,MA,2116,1560,0.737
Mill River,MA,3532,283,0.080
Monterey,MA,9948,1856,0.187
North Adams,MA,5868,2467,0.420
North Egremont,MA,290,17,0.059
Otis,MA,298,193,0.648
Richmond,MA,8889,5306,0.597
Sandisfield,MA,476,209,0.439
Savoy,MA,503,79,0.157
Sheffield,MA,8780,7707,0.878
South Egremont,MA,9385,6831,0.728
Southfield,MA,8354,6438,0.771
South Lee,MA,4555,147,0.032
Stockbridge,MA,8896,8714,0.980
Stockbridge,MA,4793,4197,0.876
Tyringham,MA,6997,4731,0.676
West Stockbridge,MA,8352,609,0.073
Williamstown,MA,5335,3826,0.717
Windsor,MA,8906,465,0.052
Greenfield,MA,6758,5153,0.763
Greenfield,MA,742,547,0.737
Ashfield,MA,8867,7565,0.853
Athol,MA,3449,2886,0.837
Bernardston,MA,5953,3810,0.640
Buckland,MA,3286,2730,0.831
Charlemont,MA,1775,994,0.560
Colrain,MA,7503,3804,0.507
Conway,MA,9360,5369,0.574
Deerfield,MA,3528,347,0.098
Drury,MA,4864,2912,0.599
Erving,MA,4912,3034,0.618
Heath,MA,5434,4563,0.840
Lake Pleasant,MA,6515,3191,0.490
Millers Falls,MA,6862,4600,0.670
Monroe Bridge,MA,4424,2998,0.678
Montague,MA,5871,319,0.054
Gill,MA,4079,1270,0.311
New Salem,MA,7305,3007,0.412
Northfield,MA,24,18,0.750
Orange,MA,7523,639,0.085
Petersham,MA,7997,2841,0.355
Rowe,MA,9091,4672,0.514
Royalston,MA,8362,7278,0.870
Shelburne Falls,MA,8257,2634,0.319
South Deerfield,MA,5527,3382,0.612
Sunderland,MA,2492,349,0.140
Turners Falls,MA,4112,2158,0.525
Warwick,MA,6326,531,0.084
Wendell,MA,8728,5645,0.647
Wendell Depot,MA,3569,2065,0.579
Fitchburg,MA,4941,2647,0.536
Ashburnham,MA,3469,298,0.086
Ashby,MA,3710,2538,0.684
Ayer,MA,1386,591,0.426
Devens,MA,9802,5012,0.511
Baldwinville,MA,4316,3199,0.741
East Templeton,MA,3086,2508,0.813
Gardner,MA,6001,176,0.029
Westminster,MA,1621,1401,0.864
Groton,MA,4206,2500,0.594
Harvard,MA,3601,2553,0.709
Hubbardston,MA,8561,5683,0.664
Leominster,MA,2699,774,0.287
Littleton,MA,3043,2899,0.953
Lunenburg,MA,3580,613,0.171
Pepperell,MA,9029,75,0.008
Shirley,MA,7593,573,0.075
Still River,MA,3268,1143,0.350
Templeton,MA,853,663,0.777
Townsend,MA,9722,1287,0.132
Groton,MA,9685,3914,0.404
Groton,MA,5967,507,0.085
West Groton,MA,9378,7025,0.749
Westminster,MA,7476,6120,0.819
West Townsend,MA,8838,1810,0.205
Winchendon,MA,9359,618,0.066
Winchendon Springs,MA,2808,2334,0.831
Auburn,MA,4185,1814,0.433
Berlin,MA,4564,3827,0.839
Blackstone,MA,1637,1482,0.905
Boylston,MA,8755,3645,0.416
Brookfield,MA,9587,6768,0.706
Charlton,MA,7717,1720,0.223
Charlton City,MA,6194,6008,0.970
Charlton Depot,MA,7186,6231,0.867
Clinton,MA,1537,243,0.158
East Brookfield,MA,7590,3881,0.511
Douglas,MA,575,297,0.517
East Princeton,MA,7396,2169,0.293
Fiskdale,MA,873,602,0.690
Grafton,MA,1736,1440,0.829
Holden,MA,3192,937,0.294
Holland,MA,4105,1684,0.410
Jefferson,MA,1241,486,0.392
Lancaster,MA,7049,378,0.054
Leicester,MA,697,650,0.933
Linwood,MA,9214,891,0.097
Manchaug,MA,9242,7869,0.851
Millbury,MA,5577,5186,0.930
Millville,MA,1828,1611,0.881
New Braintree,MA,3176,2961,0.932
Northborough,MA,4663,4566,0.979
Northbridge,MA,5143,140,0.027
North Brookfield,MA,4082,851,0.208
North Grafton,MA,9540,1308,0.137
North Oxford,MA,9559,8677,0.908
North Uxbridge,MA,1282,654,0.510
Oxford,MA,4616,2199,0.476
Princeton,MA,7179,6101,0.850
Rochdale,MA,8781,3633,0.414
Rutland,MA,5188,4240,0.817
Shrewsbury,MA,640,396,0.619
Shrewsbury,MA,4495,1347,0.300
Southbridge,MA,7698,3872,0.503
South Grafton,MA,3201,2742,0.857
South Lancaster,MA,8433,176,0.021
Spencer,MA,7218,5894,0.817
Sterling,MA,5098,3617,0.709
Sturbridge,MA,8223,5217,0.634
Upton,MA,5852,573,0.098
Uxbridge,MA,4915,4074,0.829
Webster,MA,8601,779,0.091
Dudley,MA,9330,3296,0.353
Westborough,MA,9138,3290,0.360
Westborough,MA,2220,1815,0.818
Westborough,MA,9505,8744,0.920
West Boylston,MA,4403,3918,0.890
West Brookfield,MA,4073,4023,0.988
West Millbury,MA,9941,3368,0.339
Whitinsville,MA,8779,1743,0.199
Sutton,MA,3735,784,0.210
Worcester,MA,2211,2028,0.917
Worcester,MA,3415,916,0.268
Worcester,MA,5147,3467,0.674
Worcester,MA,325,115,0.354
Worcester,MA,6770,1015,0.150
Worcester,MA,4013,3599,0.897
Worcester,MA,3554,350,0.098
Worcester,MA,812,627,0.772
Worcester,MA,8517,5182,0.608
Worcester,MA,3739,868,0.232
Cherry Valley,MA,4492,2674,0.595
Paxton,MA,7474,596,0.080
Worcester,MA,2835,76,0.027
Worcester,MA,2971,1517,0.511
Worcester,MA,8422,3526,0.419
Worcester,MA,9597,762,0.079
Worcester,MA,834,765,0.917
Worcester,MA,9596,4418,0.460
Framingham,MA,1128,600,0.532
Framingham,MA,8604,266,0.031
Framingham,MA,342,109,0.319
Framingham,MA,2029,99,0.049
Framingham,MA,189,135,0.714
Village Of Nagog Woods,MA,317,15,0.047
Boxborough,MA,2670,1006,0.377
Acton,MA,5771,3601,0.624
Ashland,MA,6495,3767,0.580
Bedford,MA,4902,4716,0.962
Hanscom Afb,MA,2060,57,0.028
Bolton,MA,8105,644,0.079
Carlisle,MA,1214,419,0.345
Concord,MA,5164,3452,0.668
Fayville,MA,7788,3719,0.478
Holliston,MA,1363,933,0.685
Hopedale,MA,6772,5351,0.790
Hopkinton,MA,341,154,0.452
Hudson,MA,6196,812,0.131
Marlborough,MA,1108,595,0.537
Maynard,MA,3754,1704,0.454
Mendon,MA,6619,6400,0.967
Milford,MA,6298,5345,0.849
Natick,MA,3479,940,0.270
Sherborn,MA,2838,2464,0.868
Southborough,MA,9821,9178,0.935
Lincoln,MA,3643,2777,0.762
Stow,MA,8625,7283,0.844
Sudbury,MA,7285,5655,0.776
Wayland,MA,9363,7534,0.805
Woodville,MA,6994,4811,0.688
Woburn,MA,7652,3070,0.401
Burlington,MA,1460,904,0.619
Burlington,MA,2260,1168,0.517
Woburn,MA,2598,1332,0.513
Woburn,MA,7657,5748,0.751
Woburn,MA,1013,567,0.560
Andover,MA,1013,591,0.583
Andover,MA,4455,482,0.108
Woburn,MA,6139,3743,0.610
Woburn,MA,705,244,0.346
Billerica,MA,7868,3886,0.494
Billerica,MA,32,16,0.500
Chelmsford,MA,9941,2913,0.293
Dracut,MA,4529,892,0.197
Dunstable,MA,7699,5165,0.671
Haverhill,MA,9385,7069,0.753
Haverhill,MA,1965,1954,0.994
Haverhill,MA,8350,7280,0.872
Georgetown,MA,6876,4125,0.600
Groveland,MA,5948,2551,0.429
Haverhill,MA,3237,1079,0.333
Lawrence,MA,6030,2313,0.384
Lawrence,MA,206,32,0.155
Lawrence,MA,2237,946,0.423
Lawrence,MA,1621,150,0.093
Methuen,MA,1202,739,0.615
North Andover,MA,9632,6835,0.710
Lowell,MA,2361,715,0.303
Lowell,MA,921,806,0.875
Lowell,MA,1688,1409,0.835
Lowell,MA,8326,1590,0.191
Lowell,MA,2204,572,0.260
Merrimac,MA,8151,3096,0.380
North Billerica,MA,8420,3143,0.373
North Chelmsford,MA,4148,3625,0.874
North Reading,MA,8572,2329,0.272
Nutting Lake,MA,9141,3241,0.355
Pinehurst,MA,2717,909,0.335
Reading,MA,8011,6097,0.761
Tewksbury,MA,3115,870,0.279
Tyngsboro,MA,8277,2754,0.333
Wakefield,MA,637,480,0.754
West Boxford,MA,2872,1996,0.695
Westford,MA,5667,1691,0.298
Wilmington,MA,1929,831,0.431
Woburn,MA,8032,292,0.036
North Reading,MA,6291,1820,0.289
Winchester,MA,1445,1152,0.797
Andover,MA,9788,44,0.004
Lynn,MA,821,687,0.837
Lynn,MA,93,46,0.495
Lynn,MA,9766,4147,0.425
Lynn,MA,8540,5189,0.608
Lynn,MA,1820,603,0.331
Saugus,MA,5509,2970,0.539
Swampscott,MA,324,252,0.778
Nahant,MA,9909,2133,0.215
Lynn,MA,5757,3178,0.552
Amesbury,MA,3624,1137,0.314
Beverly,MA,6533,344,0.053
Boxford,MA,9637,6564,0.681
Byfield,MA,995,556,0.559
Danvers,MA,145,138,0.952
Essex,MA,6749,1829,0.271
Gloucester,MA,6941,5704,0.822
Gloucester,MA,2160,1594,0.738
Hamilton,MA,2219,987,0.445
Hathorne,MA,2711,77,0.028
Ipswich,MA,3323,2219,0.668
Lynnfield,MA,3089,336,0.109
Manchester,MA,2221,2018,0.909
Marblehead,MA,4995,4782,0.957
Middleton,MA,8447,3692,0.437
Newburyport,MA,8301,7995,0.963
Newbury,MA,4514,3921,0.869
Salisbury,MA,6548,2933,0.448
Peabody,MA,7592,5168,0.681
Peabody,MA,4894,4513,0.922
Prides Crossing,MA,9146,3424,0.374
Rockport,MA,7915,3411,0.431
Rowley,MA,3229,2089,0.647
Salem,MA,5353,3837,0.717
Salem,MA,5496,5332,0.970
South Hamilton,MA,5456,1750,0.321
Topsfield,MA,6086,3890,0.639
Wenham,MA,6238,4664,0.748
West Newbury,MA,8827,8747,0.991
Accord,MA,1150,37,0.032
Bellingham,MA,8703,3654,0.420
Brant Rock,MA,9846,9350,0.950
Canton,MA,8781,8327,0.948
Cohasset,MA,527,383,0.727
Dedham,MA,3867,1052,0.272
Dedham,MA,2046,1511,0.739
Dover,MA,6049,1448,0.239
East Mansfield,MA,2054,1775,0.864
East Walpole,MA,3168,2049,0.647
Foxboro,MA,8537,1269,0.149
Franklin,MA,1886,253,0.134
Greenbush,MA,1568,1107,0.706
Green Harbor,MA,640,504,0.787
Hingham,MA,420,7,0.017
Hingham,MA,1739,1604,0.922
Hull,MA,8978,6841,0.762
Humarock,MA,2939,293,0.100
Mansfield,MA,3949,3183,0.806
Marshfield,MA,5785,3934,0.680
Marshfield Hills,MA,4243,1749,0.412
Medfield,MA,6377,5932,0.930
Medway,MA,2475,1002,0.405
Millis,MA,4288,1582,0.369
Minot,MA,5128,4268,0.832
Norfolk,MA,158,151,0.956
North Marshfield,MA,1505,266,0.177
North Scituate,MA,1515,867,0.572
Norwell,MA,1289,48,0.037
Norwood,MA,9292,449,0.048
Ocean Bluff,MA,4601,4401,0.957
Scituate,MA,5507,2667,0.484
Sharon,MA,490,250,0.510
Sheldonville,MA,1012,296,0.292
South Walpole,MA,2373,2106,0.887
Stoughton,MA,1751,497,0.284
Walpole,MA,1870,1813,0.970
Westwood,MA,3637,3132,0.861
Wrentham,MA,3158,2898,0.918
Boston,MA,3120,855,0.274
Boston,MA,3990,2976,0.746
Boston,MA,8867,8594,0.969
Boston,MA,5746,4593,0.799
Boston,MA,3836,791,0.206
Boston,MA,6760,723,0.107
Boston,MA,1759,1607,0.914
Boston,MA,5645,2321,0.411
Boston,MA,5676,1918,0.338
Boston,MA,6099,2291,0.376
Boston,MA,6160,31,0.005
Boston,MA,7449,5768,0.774
Boston,MA,9116,8601,0.944
Boston,MA,2059,801,0.389
Boston,MA,1896,1395,0.736
Boston,MA,2231,517,0.232
Boston,MA,7305,4596,0.629
Boston,MA,7046,2999,0.426
Mattapan,MA,8591,5815,0.677
Boston,MA,2276,178,0.078
Boston,MA,2184,600,0.275
Charlestown,MA,8000,2026,0.253
Jamaica Plain,MA,6198,2190,0.353
Roslindale,MA,2771,507,0.183
West Roxbury,MA,4938,3586,0.726
Boston,MA,9123,4029,0.442
Allston,MA,8769,558,0.064
Brighton,MA,3330,1860,0.559
Hyde Park,MA,2986,1396,0.468
Readville,MA,6703,1445,0.216
Cambridge,MA,1583,941,0.594
Cambridge,MA,2087,695,0.333
Cambridge,MA,6658,5464,0.821
Cambridge,MA,5735,3096,0.540
Cambridge,MA,8628,1921,0.223
Somerville,MA,4409,2504,0.568
Somerville,MA,4792,2132,0.445
Somerville,MA,4871,3879,0.796
Malden,MA,4934,2604,0.528
Everett,MA,5240,107,0.020
Chelsea,MA,631,498,0.789
Revere,MA,6751,3779,0.560
Winthrop,MA,1090,258,0.237
Medford,MA,9461,4940,0.522
Medford,MA,6594,2353,0.357
West Medford,MA,5885,1455,0.247
Boston,MA,3489,1961,0.562
Quincy,MA,1535,1014,0.661
Quincy,MA,6915,6474,0.936
Quincy,MA,3663,2585,0.706
Melrose,MA,1557,1209,0.776
Stoneham,MA,4015,2142,0.533
Braintree,MA,5613,4912,0.875
Braintree,MA,8261,3768,0.456
Milton,MA,4951,4623,0.934
Milton Village,MA,4854,4266,0.879
Weymouth,MA,9100,6321,0.695
East Weymouth,MA,9045,8528,0.943
South Weymouth,MA,3051,1272,0.417
North Weymouth,MA,4580,3359,0.733
Boston,MA,2358,1200,0.509
Boston,MA,7612,1430,0.188
Boston,MA,2776,2245,0.809
Boston,MA,4863,4055,0.834
Boston,MA,9525,6442,0.676
Boston,MA,3522,898,0.255
Boston,MA,3950,1876,0.475
Boston,MA,685,449,0.655
Boston,MA,2388,1846,0.773
Boston,MA,8855,116,0.013
Boston,MA,8161,805,0.099
Boston,MA,2428,1918,0.790
Boston,MA,4283,3253,0.760
Boston,MA,2843,664,0.234
Boston,MA,7285,1323,0.182
East Boston,MA,4793,773,0.161
Cambridge,MA,4470,1016,0.227
Cambridge,MA,3956,3952,0.999
Boston,MA,189,15,0.079
Boston,MA,2105,1723,0.819
Quincy,MA,4537,3122,0.688
Boston,MA,3385,673,0.199
Boston,MA,8601,7179,0.835
Boston,MA,8648,4934,0.571
Boston,MA,1085,463,0.427
Boston,MA,4938,4337,0.878
Boston,MA,3836,2254,0.588
Brockton,MA,9030,7683,0.851
Brockton,MA,3250,1420,0.437
Brockton,MA,4906,275,0.056
Brockton,MA,124,27,0.218
Brockton,MA,423,153,0.362
Avon,MA,4873,2495,0.512
Bridgewater,MA,1454,1121,0.771
Bridgewater,MA,8622,8479,0.983
Bryantville,MA,5131,2724,0.531
Carver,MA,9848,1112,0.113
Duxbury,MA,8855,7425,0.839
Duxbury,MA,6080,2735,0.450
East Bridgewater,MA,503,103,0.205
Easton,MA,8553,5820,0.680
Elmwood,MA,6617,3129,0.473
Halifax,MA,9041,3709,0.410
Hanover,MA,4338,3226,0.744
Hanover,MA,5001,3329,0.666
Hanson,MA,4435,2029,0.457
Holbrook,MA,5077,4009,0.790
Middleboro,MA,1236,1028,0.832
Manomet,MA,1384,265,0.191
Middleboro,MA,8402,332,0.040
Lakeville,MA,2620,675,0.258
Lakeville,MA,8044,7757,0.964
Middleboro,MA,4036,3146,0.779
Monponsett,MA,7446,5381,0.723
Abington,MA,1316,901,0.685
North Carver,MA,6616,4600,0.695
North Easton,MA,7391,3096,0.419
North Easton,MA,1761,543,0.308
North Pembroke,MA,2661,1417,0.533
Pembroke,MA,3528,2918,0.827
Plymouth,MA,3371,2672,0.793
Plymouth,MA,2023,721,0.356
Plymouth,MA,9612,9181,0.955
Kingston,MA,2787,1401,0.503
South Carver,MA,7930,550,0.069
Plympton,MA,2467,2338,0.948
Randolph,MA,9171,7335,0.800
Rockland,MA,98,69,0.704
South Easton,MA,1411,999,0.708
West Bridgewater,MA,1491,688,0.461
White Horse Beach,MA,3113,2756,0.885
Whitman,MA,2129,1387,0.651
Lexington,MA,2247,849,0.378
Lexington,MA,5112,3650,0.714
Brookline,MA,2887,2233,0.773
Brookline,MA,8413,388,0.046
Brookline Village,MA,3686,3208,0.870
Waltham,MA,5881,3750,0.638
Waltham,MA,753,568,0.754
Waltham,MA,2097,1517,0.723
Waltham,MA,5148,2417,0.470
North Waltham,MA,4380,2630,0.600
New Town,MA,8951,3925,0.438
Babson Park,MA,2017,1248,0.619
Newton,MA,4924,353,0.072
Newton Center,MA,1884,1677,0.890
Newtonville,MA,8633,6761,0.783
Newton Highlands,MA,1085,415,0.382
Newton Lower Falls,MA,3755,2177,0.580
Newton Upper Falls,MA,720,683,0.949
West Newton,MA,7200,272,0.038
Auburndale,MA,7642,5896,0.772
Chestnut Hill,MA,1104,107,0.097
Waban,MA,8771,8458,0.964
Watertown,MA,5673,4606,0.812
Watertown,MA,6066,2677,0.441
Arlington,MA,3834,864,0.225
Arlington Heights,MA,2858,1310,0.458
Arlington,MA,5643,380,0.067
Watertown,MA,1324,1223,0.924
Belmont,MA,2391,684,0.286
Waverley,MA,8307,5939,0.715
Wellesley Hills,MA,4827,3536,0.733
Wellesley,MA,4060,1062,0.262
Needham,MA,5525,3150,0.570
Weston,MA,7752,7626,0.984
Needham Heights,MA,1904,1652,0.868
Nonantum,MA,5710,2985,0.523
Buzzards Bay,MA,3596,2951,0.821
Cataumet,MA,8751,4669,0.534
Chilmark,MA,8885,1700,0.191
East Falmouth,MA,2108,900,0.427
East Sandwich,MA,8590,6928,0.807
East Wareham,MA,1537,439,0.286
Edgartown,MA,836,593,0.709
